Country Name,Country Code,Series Name,2000 [YR2000],2003 [YR2003],2006 [YR2006],2009 [YR2009],2012 [YR2012],2015 [YR2015]
Albania,ALB,PISA: Mean performance on the mathematics scale,381,,,377.4610565,394.3293334,413.157
Albania,ALB,PISA: Mean performance on the reading scale,348.8495124,,,384.8166024,393.9642519,405.2588
Albania,ALB,PISA: Mean performance on the science scale,376.4532138,,,390.6957455,397.3732136,427.225
Algeria,DZA,PISA: Mean performance on the mathematics scale,,,,,,359.6062
Algeria,DZA,PISA: Mean performance on the reading scale,,,,,,349.8593
Algeria,DZA,PISA: Mean performance on the science scale,,,,,,375.7451
Argentina,ARG,PISA: Mean performance on the mathematics scale,388,,381.2539117,388.0681283,388.4317099,409.0333
Argentina,ARG,PISA: Mean performance on the reading scale,418.2507003,,373.7237716,398.26088,395.9791227,425.3031
Argentina,ARG,PISA: Mean performance on the science scale,396.1667536,,391.2439018,400.8385202,405.632005,432.2262
Armenia,ARM,PISA: Mean performance on the mathematics scale,,,,,,
Armenia,ARM,PISA: Mean performance on the reading scale,,,,,,
Armenia,ARM,PISA: Mean performance on the science scale,,,,,,
Australia,AUS,PISA: Mean performance on the mathematics scale,533,524.2660043,519.9077487,514.3404624,504.1507663,493.8962
Australia,AUS,PISA: Mean performance on the reading scale,528.2785044,525.4270067,512.8932914,514.9006552,511.8039977,502.9006
Australia,AUS,PISA: Mean performance on the science scale,527.502067,525.054499,526.8795886,527.270534,521.4947463,509.9939
Austria,AUT,PISA: Mean performance on the mathematics scale,502.5,505.6109833,505.4835985,495.908655,505.5407432,496.7423
Austria,AUT,PISA: Mean performance on the reading scale,492.0560068,490.6932404,490.1939773,470.283632,489.6093354,484.8656
Austria,AUT,PISA: Mean performance on the science scale,504.6968535,490.9846035,510.8371541,494.3276732,505.7812471,495.0375
Azerbaijan,AZE,PISA: Mean performance on the mathematics scale,,,475.9952205,430.9753002,,
Azerbaijan,AZE,PISA: Mean performance on the reading scale,,,352.8918515,361.5153176,,
Azerbaijan,AZE,PISA: Mean performance on the science scale,,,382.3339368,373.1835882,,
Bahrain,BHR,PISA: Mean performance on the mathematics scale,,,,,,
Bahrain,BHR,PISA: Mean performance on the reading scale,,,,,,
Bahrain,BHR,PISA: Mean performance on the science scale,,,,,,
Belgium,BEL,PISA: Mean performance on the mathematics scale,520,529.2864111,520.3489726,515.2722769,514.5292447,506.9844
Belgium,BEL,PISA: Mean performance on the reading scale,507.1258905,506.9873294,500.9005947,505.9457962,508.6178763,498.5242
Belgium,BEL,PISA: Mean performance on the science scale,495.7350291,508.8289823,510.3634836,506.5755263,504.867653,501.9997
Belize,BLZ,PISA: Mean performance on the mathematics scale,,,,,,
Belize,BLZ,PISA: Mean performance on the reading scale,,,,,,
Belize,BLZ,PISA: Mean performance on the science scale,,,,,,
Benin,BEN,PISA: Mean performance on the mathematics scale,,,,,,
Benin,BEN,PISA: Mean performance on the reading scale,,,,,,
Benin,BEN,PISA: Mean performance on the science scale,,,,,,
Bolivia,BOL,PISA: Mean performance on the mathematics scale,,,,,,
Bolivia,BOL,PISA: Mean performance on the reading scale,,,,,,
Bolivia,BOL,PISA: Mean performance on the science scale,,,,,,
Bosnia and Herzegovina,BIH,PISA: Mean performance on the mathematics scale,,,,,,
Bosnia and Herzegovina,BIH,PISA: Mean performance on the reading scale,,,,,,
Bosnia and Herzegovina,BIH,PISA: Mean performance on the science scale,,,,,,
Botswana,BWA,PISA: Mean performance on the mathematics scale,,,,,,
Botswana,BWA,PISA: Mean performance on the reading scale,,,,,,
Botswana,BWA,PISA: Mean performance on the science scale,,,,,,
Brazil,BRA,PISA: Mean performance on the mathematics scale,334,356.015791,369.5150467,385.814112,391.459889,377.0695
Brazil,BRA,PISA: Mean performance on the reading scale,396.0290837,402.796284,392.8851125,411.7549275,410.1218477,407.3486
Brazil,BRA,PISA: Mean performance on the science scale,375.1689498,389.6196365,390.3315707,405.4039888,404.7105293,400.6821
Bulgaria,BGR,PISA: Mean performance on the mathematics scale,430,,413.4491713,428.0661428,438.7382599,441.1899
Bulgaria,BGR,PISA: Mean performance on the reading scale,430.4034328,,401.9349802,429.081087,436.1257253,431.7175
Bulgaria,BGR,PISA: Mean performance on the science scale,448.2847115,,434.0797709,439.2941487,446.4687094,445.772
Burkina Faso,BFA,PISA: Mean performance on the mathematics scale,,,,,,
Burkina Faso,BFA,PISA: Mean performance on the reading scale,,,,,,
Burkina Faso,BFA,PISA: Mean performance on the science scale,,,,,,
Burundi,BDI,PISA: Mean performance on the mathematics scale,,,,,,
Burundi,BDI,PISA: Mean performance on the reading scale,,,,,,
Burundi,BDI,PISA: Mean performance on the science scale,,,,,,
Cameroon,CMR,PISA: Mean performance on the mathematics scale,,,,,,
Cameroon,CMR,PISA: Mean performance on the reading scale,,,,,,
Cameroon,CMR,PISA: Mean performance on the science scale,,,,,,
Canada,CAN,PISA: Mean performance on the mathematics scale,533,532.4867361,527.0071789,526.8051528,518.0703996,515.6474
Canada,CAN,PISA: Mean performance on the reading scale,534.3127191,527.9136117,527.0112953,524.2418334,523.1167184,526.6678
Canada,CAN,PISA: Mean performance on the science scale,529.3602518,518.7451636,534.4697773,528.7049532,525.4609698,527.7047
Chad,TCD,PISA: Mean performance on the mathematics scale,,,,,,
Chad,TCD,PISA: Mean performance on the reading scale,,,,,,
Chad,TCD,PISA: Mean performance on the science scale,,,,,,
Chile,CHL,PISA: Mean performance on the mathematics scale,384,,411.3503389,421.060473,422.6323554,422.6714
Chile,CHL,PISA: Mean performance on the reading scale,409.556782,,442.0913459,449.3696068,441.3981633,458.5709
Chile,CHL,PISA: Mean performance on the science scale,414.8530771,,438.1774448,447.4673599,444.9339197,446.9561
Colombia,COL,PISA: Mean performance on the mathematics scale,,,369.9785129,380.8482149,376.4886011,389.6438
Colombia,COL,PISA: Mean performance on the reading scale,,,385.3080382,413.1814991,403.4025341,424.9052
Colombia,COL,PISA: Mean performance on the science scale,,,388.0382719,401.7501153,398.6786316,415.7288
Comoros,COM,PISA: Mean performance on the mathematics scale,,,,,,
Comoros,COM,PISA: Mean performance on the reading scale,,,,,,
Comoros,COM,PISA: Mean performance on the science scale,,,,,,
"Congo, Dem. Rep.",COD,PISA: Mean performance on the mathematics scale,,,,,,
"Congo, Dem. Rep.",COD,PISA: Mean performance on the reading scale,,,,,,
"Congo, Dem. Rep.",COD,PISA: Mean performance on the science scale,,,,,,
"Congo, Rep.",COG,PISA: Mean performance on the mathematics scale,,,,,,
"Congo, Rep.",COG,PISA: Mean performance on the reading scale,,,,,,
"Congo, Rep.",COG,PISA: Mean performance on the science scale,,,,,,
Costa Rica,CRI,PISA: Mean performance on the mathematics scale,,,,409.3853691,406.999867,400.2534
Costa Rica,CRI,PISA: Mean performance on the reading scale,,,,442.5809436,440.5478107,427.4875
Costa Rica,CRI,PISA: Mean performance on the science scale,,,,430.4812792,429.3509675,419.608
Cote d'Ivoire,CIV,PISA: Mean performance on the mathematics scale,,,,,,
Cote d'Ivoire,CIV,PISA: Mean performance on the reading scale,,,,,,
Cote d'Ivoire,CIV,PISA: Mean performance on the science scale,,,,,,
Croatia,HRV,PISA: Mean performance on the mathematics scale,,,467.2467142,459.9389179,471.1314608,464.0401
Croatia,HRV,PISA: Mean performance on the reading scale,,,477.364238,475.7488864,484.5650321,486.8632
Croatia,HRV,PISA: Mean performance on the science scale,,,493.2043918,486.3634488,491.3565828,475.3912
Cuba,CUB,PISA: Mean performance on the mathematics scale,,,,,,
Cuba,CUB,PISA: Mean performance on the reading scale,,,,,,
Cuba,CUB,PISA: Mean performance on the science scale,,,,,,
Cyprus,CYP,PISA: Mean performance on the mathematics scale,,,,,,437.1443
Cyprus,CYP,PISA: Mean performance on the reading scale,,,,,448.9529787,442.8443
Cyprus,CYP,PISA: Mean performance on the science scale,,,,,437.676459,432.5964
Czech Republic,CZE,PISA: Mean performance on the mathematics scale,498,516.4550002,509.8593591,492.8140943,498.9578823,492.3254
Czech Republic,CZE,PISA: Mean performance on the reading scale,491.5770321,488.5422844,482.7151621,478.1867206,492.8897382,487.2501
Czech Republic,CZE,PISA: Mean performance on the science scale,511.4145186,523.2537295,512.8607461,500.497066,508.2990794,492.83
Denmark,DNK,PISA: Mean performance on the mathematics scale,514,514.2876752,513.02595,503.2781472,500.0267566,511.0876
Denmark,DNK,PISA: Mean performance on the reading scale,496.8709663,492.3233793,494.4829807,494.9161618,496.1308814,499.8146
Denmark,DNK,PISA: Mean performance on the science scale,481.0053402,475.2226705,495.89431,499.3369747,498.4742014,501.9369
